# source_image: figure_4.png
# curve_id: curve_1
# curve_layout: stacked
# label: Precursor
# color: blue
# position: bottom
# baseline_offset: 500.0
# columns: 2theta intensity
7.000 528.227
7.008 523.940
7.015 529.721
7.023 530.364
7.030 521.111
7.038 523.228
7.045 527.855
7.053 526.463
7.060 527.461
7.068 524.812
7.075 530.412
7.083 530.124
7.090 527.877
7.098 531.324
7.105 529.246
7.113 525.026
7.120 529.012
7.128 524.791
7.135 530.735
7.143 527.799
7.150 527.411
7.158 525.864
7.165 532.024
7.173 527.651
7.180 526.821
7.188 527.116
7.195 530.008
7.203 529.524
7.210 529.730
7.218 529.843
7.225 535.392
7.233 527.267
7.240 526.986
7.248 526.077
7.255 530.729
7.263 532.438
7.270 528.510
7.278 526.243
7.285 526.359
7.293 531.164
7.300 531.530
7.308 530.958
7.315 527.149
7.323 530.105
7.330 529.809
7.338 530.213
7.345 532.388
7.353 530.388
7.360 531.932
7.368 530.052
7.375 530.849
7.383 532.035
7.390 525.418
7.398 529.162
7.405 528.771
7.413 528.326
7.420 529.591
7.428 535.375
7.435 527.896
7.443 533.891
7.450 525.484
7.458 529.922
7.465 531.632
7.473 533.106
7.480 533.625
7.488 534.008
7.495 530.463
7.503 530.224
7.510 534.592
7.518 531.354
7.525 528.007
7.533 528.602
7.540 529.430
7.548 534.124
7.555 533.134
7.563 535.046
7.570 531.612
7.578 533.653
7.585 535.317
7.593 532.482
7.600 535.115
7.608 531.699
7.615 532.840
7.623 532.966
7.630 530.542
7.638 536.142
7.645 533.271
7.653 535.025
7.660 536.740
7.668 536.848
7.675 537.774
7.683 535.550
7.690 534.743
7.698 536.089
7.705 531.175
7.713 532.202
7.720 532.865
7.728 534.181
7.735 538.946
7.743 535.041
7.750 537.029
7.758 542.719
7.765 537.715
7.773 541.549
7.780 536.514
7.788 539.194
7.795 537.155
7.803 539.480
7.810 543.641
7.818 535.782
7.825 543.122
7.833 542.901
7.840 540.653
7.848 538.355
7.855 543.682
7.863 542.218
7.870 545.148
7.878 544.970
7.885 550.560
7.893 545.181
7.900 543.216
7.908 547.651
7.915 548.375
7.923 552.648
7.930 551.604
7.938 550.730
7.945 554.971
7.953 547.170
7.960 549.678
7.968 549.533
7.975 552.065
